"id","comment","command","value","target"
"19bc9aef-5c00-4ca2-931b-b8ba1694ad8b","打开页面","open","","/dashboard"
"045e9f73-6d57-45df-89f4-b33f984bb4a3","","setWindowSize","","1182x809"
"face1252-4bbc-4d2c-b48c-d7a589a0815c","点击输入框","click","","css=.ant-input"
"461f20d2-d6da-4b38-91b9-808ef48d5ff4","输入查找内容","type","java","css=.ant-input"
"fadf2b0b-7d9a-46e3-9c16-21663777a5c9","下拉框内选择第一个 查询平台内所有内容","click","","xpath=//div[@id='ReactApp']/div[5]/div/div/div/div[3]/div/div/div/div/div/ul/li"
"86f57bb9-a1e0-41d4-915b-75e18b7c108c","点击选择跳转的页面","selectWindow","","handle=${win6870}"
"7b17b0ab-de41-40bc-ab4a-b84f2a1a3ab5","往下翻，随意浏览","runScript","","window.scrollTo(0,1614)"
"0d2b13ca-ace7-4485-9763-30320725443c","点击返回顶部","click","","css=.ant-back-top-icon"
"371ba435-64fc-4f9c-ac1b-8a7789079245","打开页面","open","","/dashboard"
"65f8a33f-3eb4-49e8-9d31-8ab49070dcb1","","setWindowSize","","1291x795"
"1528adc6-568f-43cb-a642-d79f4084d488","点击输入框","click","","css=.ant-input"
"c7e0cc03-323d-4713-9aed-7af41dbbb0c2","输入查找内容","type","javascript","css=.ant-input"
"2ac35ac0-3f2e-4ee6-9d51-809182229966","下拉框内选择第二个 查询与我有关内容","click","","xpath=//div[@id='ReactApp']/div[5]/div/div/div/div[3]/div/div/div/div/div/ul/li[2]"
"d9d588fc-6f9d-467e-b8d0-091cee87da96","跳转至查询结果页","selectWindow","","handle=${win7096}"
"25a9fb99-9421-4013-9a61-9659916e9d44","打开语雀主页（登录情况下）","open","","/dashboard"
"d5ac65ae-1930-4543-8cbf-f27a4ee1ff5f","","setWindowSize","","1291x795"
"f2e11f5e-65e0-4ab8-bfc4-1612c8c66abc","点击搜索框","click","","css=.ant-input"
"fb4942b5-af6e-43c1-9ed5-bf1f9153a933","输入查询文本","type","java","css=.ant-input"
"1a310fde-7f19-4168-b54f-280c9af2dfec","点击查询（范围为语雀平台）","click","","xpath=//div[3]/div/div/div/div/div/ul/li[2]"
"8476838b-d7fa-409b-8946-9a53906eb7f2","点击到查询结果跳转页面","selectWindow","","handle=${win492}"
"edfb1af1-5d7d-4495-9667-fd702e54aa9a","点击结果类别为 知识库","click","","xpath=//div[2]/div/div/div/div/ul/li[2]/a"
"8abb4f45-a523-472e-b367-64347e5fc483","等待一定时间，确认 知识库列表 是否返回","waitForElementPresent","5000","xpath=//div[2]/div/div/div/ul/li"
"db4b4ac8-5025-4003-b396-1e335ee89dd7","打开语雀主页（登录情况下）","open","","/dashboard"
"e5323860-f54a-4d31-81f6-c01ba2928721","","setWindowSize","","1291x795"
"a03b9eb1-8977-4c19-b7fb-d98c2d6ea438","点击搜索框","click","","css=.ant-input"
"48e18945-d0b7-42ed-b9cf-3533a5b867ae","输入查询文本","type","java","css=.ant-input"
"ab83924a-3b9c-414b-9a76-ef13d191bd4c","点击查询（范围为语雀平台）","click","","xpath=//div[3]/div/div/div/div/div/ul/li[2]"
"810b181f-3d73-41a9-8670-d59ed426ec41","点击到查询结果跳转页面","selectWindow","","handle=${win492}"
"1d13936e-4407-4a9a-92b4-7331251f4c0d","点击结果类别为 文档","click","","css=.ant-menu-item > .active"
"abd43ca7-3eb3-49b8-a264-dada261c82ad","等待一定时间，确认文档列表是否返回","waitForElementPresent","5000","xpath=//div[2]/div/div/div/ul/li"
"05f9c07e-18da-4f0f-9e21-e93a4c05f2f9","打开语雀主页（登录情况下）","open","","/dashboard"
"336f7e14-eed1-4c9e-a0f1-191166755226","","setWindowSize","","1291x795"
"7a76ec7f-adc0-4fbe-adc2-d6deaa650b0f","点击搜索框","click","","css=.ant-input"
"45a970de-3e8a-4be8-85ff-593773356abe","输入查询文本","type","java","css=.ant-input"
"c3412305-ef32-411e-9bfe-37fa22eb2150","点击查询（范围为语雀平台）","click","","xpath=//div[3]/div/div/div/div/div/ul/li[2]"
"1d6b1e8f-a6ab-4907-b93c-e05846dfff2d","点击到查询结果跳转页面","selectWindow","","handle=${win492}"
"9594553f-d7bd-42ad-a218-a1b51dfdf40f","点击结果类别为 画板","click","","xpath=//li[3]/a"
"cfa4b823-cdf2-48f7-936c-32d94d47095b","等待一定时间，确认 画板列表 是否返回","waitForElementPresent","5000","xpath=//div[2]/div/div/div/ul/li"
"db6048f5-c977-4f04-b61a-74d7d5084ad0","打开语雀主页（登录情况下）","open","","/dashboard"
"63f3a842-8210-4f26-b5cc-f545f4b7dd3f","","setWindowSize","","1291x795"
"36608ca2-acee-4ff5-837d-27677a8150d3","点击搜索框","click","","css=.ant-input"
"bc09c5a1-20e5-4341-bd64-d5efd8bc20a1","输入查询文本","type","java","css=.ant-input"
"efeb9133-c267-4a65-95b3-0e422aac8f29","点击查询（范围为语雀平台）","click","","xpath=//div[3]/div/div/div/div/div/ul/li[2]"
"d95babdf-82a8-454b-9a28-88455a98c6fb","点击到查询结果跳转页面","selectWindow","","handle=${win492}"
"268c69cb-0be1-42b7-9b33-c1240d47681f","点击结果类别为 讨论","click","","xpath=//li[4]/a"
"6c8bca6e-7eb9-47d5-85d7-be873a71d94a","等待一定时间，确认 讨论列表 是否返回","waitForElementPresent","5000","xpath=//div[2]/div/div/div/ul/li"
"c4e5d242-00d1-47a8-8e21-6dfd7653395a","打开语雀主页（登录情况下）","open","","/dashboard"
"456affb8-d6f6-472a-9aa7-59abb859382d","","setWindowSize","","1291x795"
"c9b44db7-f602-4b9f-8ee9-f7b482e339da","点击搜索框","click","","css=.ant-input"
"602b07e2-4a66-4d52-b77d-c61dd287d912","输入查询文本","type","java","css=.ant-input"
"e736f818-026a-46f5-be43-f510be6a9589","点击查询（范围为语雀平台）","click","","xpath=//div[3]/div/div/div/div/div/ul/li[2]"
"d7ae7ca8-70e9-4118-a0da-02fc3d876fa2","点击到查询结果跳转页面","selectWindow","","handle=${win492}"
"ab53c324-4c33-45c6-b2a4-ac7f21a281bc","点击结果类别为 附件","click","","xpath=//li[5]/a"
"ea104db3-8c32-43b6-ba74-c562ad9559e0","等待一定时间，确认 附件列表 是否返回","waitForElementPresent","5000","xpath=//div[2]/div/div/div/ul/li"
"4f6564ac-8d3e-46ad-b5f2-b7ff0681c69d","打开语雀主页（登录情况下）","open","","/dashboard"
"aacaf80e-cc20-4390-ba1f-3f090b785462","","setWindowSize","","1291x795"
"bc97fa49-3fb3-4b28-a76e-8eef5878d8bf","点击搜索框","click","","css=.ant-input"
"f7d29a6d-90c6-47e3-9e58-2d329f943adf","输入查不到内容的文本","type","我猜你肯定查不出来&！叽里呱啦","css=.ant-input"
"9f6d5d52-83cd-4693-9fc8-12150ff99d3f","点击查询（范围为语雀平台）","click","","xpath=//div[3]/div/div/div/div/div/ul/li[2]"
"84635f8a-5b8f-4512-b2a4-1fb636eb7f94","点击到查询结果跳转页面","selectWindow","","handle=${win492}"
"b67e09d0-7708-434d-9910-8eae3706c06b","等待一定时间，确认 结果列表 是否返回","waitForElementNotPresent","5000","xpath=//div[2]/div/div/div/ul/li"
"aa0af2c6-270e-425c-99b6-0f1e061d2bdd","打开语雀主页（登录情况下）","open","","/dashboard"
"bd756e15-3ca7-4946-a458-85b0a24337de","","setWindowSize","","1291x795"
"47c217c3-125c-401c-9a21-0bbada285953","点击搜索框","click","","css=.ant-input"
"8af2cedf-6b91-4904-af31-69e2a8fd3742","随便输入点什么东西","type","java","css=.ant-input"
"3ca0d2af-45ae-40ff-b6c7-5dcca824b8a8","点击清空输入框按钮","click","","css=.larkicon-close"
"0c522159-b48c-4d8b-98b8-e6b84176fcf7","判断输入框内容是否清空","assertValue","","css=.ant-input"